time,temperature,windspeed,winddirection,weathercode,is_day,latitude,longitude,timezone
2026-03-03T09:15,17.7,13.1,351,0,1,33.3125,44.375,GMT
2026-03-03T12:15,900,17.7,13.1,351,1,0,33.3152,44.3661,Asia/Baghdad
2026-03-03T12:15,900,17.7,13.1,351,1,0,33.3152,44.3661,Asia/Baghdad
2026-03-03T22:15,900,11.6,7.9,313,0,0,33.3152,44.3661,Asia/Baghdad
2026-03-04T00:00,900,10.3,7.7,311,0,0,33.3152,44.3661,Asia/Baghdad
2026-03-04T01:45,900,9.4,5.6,310,0,0,33.3152,44.3661,Asia/Baghdad
2026-03-04T02:45,900,8.8,5.2,304,0,0,33.3152,44.3661,Asia/Baghdad
2026-03-04T07:45,900,8.3,5.2,286,1,0,33.3152,44.3661,Asia/Baghdad
2026-03-04T10:15,900,15.7,8.1,283,1,0,33.3152,44.3661,Asia/Baghdad
2026-03-04T13:00,900,19.6,10.6,288,1,0,33.3152,44.3661,Asia/Baghdad
2026-03-04T14:45,900,20.1,10.5,297,1,3,33.3152,44.3661,Asia/Baghdad
2026-03-04T17:00,900,19.2,8.5,298,1,3,33.3152,44.3661,Asia/Baghdad
2026-03-04T20:00,900,16.2,4.0,100,0,3,33.3152,44.3661,Asia/Baghdad
